,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
8897,860010022,2865 NE WHITE CT,2/14/23,2023,2,2023-2,430500,1975,2132,201.9230769,33.7085001,-83.9509826,13247060103,North Rockdale,POINT (-83.9509826 33.7085001)
8912,590010009,3840 NW HIGHWAY 20,2/7/23,2023,2,2023-2,155000,1961,1230,126.0162602,33.7463632,-83.9874258,13247060103,North Rockdale,POINT (-83.9874258 33.7463632)
8995,820020005,2210 NE BLACK SHOALS RD,5/29/20,2020,5,2020-5,63000,1957,1284,49.06542056,33.7434596,-83.9724626,13247060103,North Rockdale,POINT (-83.9724626 33.7434596)
9012,530010032,1777 NE CHANDLER RD,1/28/20,2020,1,2020-1,140000,1970,1613,86.79479231,33.7388002,-83.9866406,13247060103,North Rockdale,POINT (-83.9866406 33.7388002)
9028,086A010056,2391 NE FAIRHAVEN CV,3/27/20,2020,3,2020-3,299900,1999,2041,146.9377756,33.7143206,-83.9450066,13247060103,North Rockdale,POINT (-83.9450066 33.7143206)
9273,034001012C,871 NW PLEASANT HILL RD,5/29/20,2020,5,2020-5,325000,2001,2459,132.1675478,33.7587227,-84.0153584,13247060103,North Rockdale,POINT (-84.0153584 33.7587227)
9306,086A010024,3210 NE OLD CHURCH CV,5/26/20,2020,5,2020-5,365000,1990,2846,128.2501757,33.7065724,-83.9436581,13247060103,North Rockdale,POINT (-83.9436581 33.7065724)
9380,086A010057,2401 NE FAIRHAVEN CV,5/4/20,2020,5,2020-5,346000,1995,2936,117.8474114,33.7147222,-83.9452134,13247060103,North Rockdale,POINT (-83.9452134 33.7147222)
9489,052001008D,4625 NW BRYANT RD,3/31/20,2020,3,2020-3,260000,2005,1862,139.6348013,33.7681045,-84.0007739,13247060103,North Rockdale,POINT (-84.0007739 33.7681045)
9689,840010027,3660 NE HAYNES RIDGE RD,2/6/20,2020,2,2020-2,333000,1994,1970,169.035533,33.7402968,-83.9194416,13247060103,North Rockdale,POINT (-83.9194416 33.7402968)
237,010D010131,2403 SW FITTS DR,4/22/22,2022,4,2022-4,303500,2020,1792,169.3638393,33.6906181,-84.0724601,13247060201,North Rockdale,POINT (-84.0724601 33.6906181)
276,200010030,2361 NW GLENEAGLE TRC,4/12/22,2022,4,2022-4,805000,2001,3466,232.2562031,33.7043654,-84.0631983,13247060201,North Rockdale,POINT (-84.0631983 33.7043654)
277,038001001F,2495 NW ROCKBRIDGE RD,4/12/22,2022,4,2022-4,275000,1987,2460,111.7886179,33.7093892,-84.0505046,13247060201,North Rockdale,POINT (-84.0505046 33.7093892)
279,038A010058,2481 NW ROCKBRIDGE RD,3/17/22,2022,3,2022-3,242760,1973,1848,131.3636364,33.7097845,-84.0514534,13247060201,North Rockdale,POINT (-84.0514534 33.7097845)
351,190090014,2532 NW LAKE CAPRI DR,3/25/22,2022,3,2022-3,379750,1971,2386,159.1575859,33.7112758,-84.0566759,13247060201,North Rockdale,POINT (-84.0566759 33.7112758)
402,010D010018,2734 SW KEMP CT,3/14/22,2022,3,2022-3,292500,2019,1792,163.2254464,33.6893754,-84.0732487,13247060201,North Rockdale,POINT (-84.0732487 33.6893754)
416,010D010052,2820 SW ELLIS POINTE AV,3/10/22,2022,3,2022-3,300000,2019,1792,167.4107143,33.6907454,-84.0724835,13247060201,North Rockdale,POINT (-84.0724835 33.6907454)
473,100020003,2575 SW ABBOTT LAKE RD,2/28/22,2022,2,2022-2,199900,1955,768,260.2864583,33.6846182,-84.0707104,13247060201,North Rockdale,POINT (-84.0707104 33.6846182)
502,180060008,2095 NW SALERNO DR,2/22/22,2022,2,2022-2,185000,1972,1802,102.663707,33.7216147,-84.0558709,13247060201,North Rockdale,POINT (-84.0558709 33.7216147)
561,190040007,2554 NW AMALFI DR,2/8/22,2022,2,2022-2,265000,1966,1564,169.4373402,33.7161284,-84.0508135,13247060201,North Rockdale,POINT (-84.0508135 33.7161284)
613,010D010062,2805 SW ELLIS POINTE AV,1/27/22,2022,1,2022-1,290000,2019,1792,161.8303571,33.6907454,-84.0724835,13247060201,North Rockdale,POINT (-84.0724835 33.6907454)
658,180040003,2855 NW BARCELONA WAY,1/14/22,2022,1,2022-1,310000,1973,2829,109.5793567,33.7197439,-84.0567791,13247060201,North Rockdale,POINT (-84.0567791 33.7197439)
675,038A010007,2548 NW PACES LANDING DR,1/7/22,2022,1,2022-1,270000,1972,2482,108.7832393,33.7115942,-84.0510819,13247060201,North Rockdale,POINT (-84.0510819 33.7115942)
764,180070008,3021 NW BARCELONA WAY,6/1/18,2018,6,2018-6,165000,1971,1548,106.5891473,33.7241005,-84.0550865,13247060201,North Rockdale,POINT (-84.0550865 33.7241005)
841,180030013,2995 RIVIERA DR,5/30/18,2018,5,2018-5,149500,1974,1675,89.25373134,33.7235049,-84.053559,13247060201,North Rockdale,POINT (-84.053559 33.7235049)
912,190020011,1996 NW GIBRALTER WAY,4/25/18,2018,4,2018-4,155000,1972,1742,88.97818599,33.7140075,-84.052403,13247060201,North Rockdale,POINT (-84.052403 33.7140075)
945,190050036,2675 NW ROCKBRIDGE RD,1/31/18,2018,1,2018-1,106100,1988,1619,65.53428042,33.7149045,-84.0583891,13247060201,North Rockdale,POINT (-84.0583891 33.7149045)
