,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month,url,lat,long
3883,041B010280,1635 NW LARKSPUR TRL,5/30/19,162900,2019,1589,1635%20Nw%20Larkspur%20Trl%20Rockdale%20County%20GA,041B010280-5/30/2019-162900.0,102.5173065,2019,2019,5,2019-5,https://www.google.com/maps/search/1635%20Nw%20Larkspur%20Trl%20Rockdale%20County%20GA,33.6907593419657,-84.02621649
3266,710010065,1941 NE WHEAT VALLEY CIR,9/28/18,255900,2008,3071,1941%20Ne%20Wheat%20Valley%20Cir%20Rockdale%20County%20GA,0710010065-9/28/2018-255900.0,83.32790622,2018,2018,9,2018-9,https://www.google.com/maps/search/1941%20Ne%20Wheat%20Valley%20Cir%20Rockdale%20County%20GA,33.654714,-83.967854
3267,086A010078,3131 NE HAVERHILL CV,9/28/18,350000,1994,3825,3131%20Ne%20Haverhill%20Cv%20Rockdale%20County%20GA,086A010078-9/28/2018-350000.0,91.50326797,2018,2018,9,2018-9,https://www.google.com/maps/search/3131%20Ne%20Haverhill%20Cv%20Rockdale%20County%20GA,33.7152467,-83.943042
3268,091A010018,3603 NE CAMILLE AVE,9/28/18,325000,2018,4950,3603%20Ne%20Camille%20Ave%20Rockdale%20County%20GA,091A010018-9/28/2018-325000.0,65.65656566,2018,2018,9,2018-9,https://www.google.com/maps/search/3603%20Ne%20Camille%20Ave%20Rockdale%20County%20GA,33.6408878,-83.9461853
3269,092A010028,2244 NE GINGER LAKE DR,9/28/18,267970,2018,3039,2244%20Ne%20Ginger%20Lake%20Dr%20Rockdale%20County%20GA,092A010028-9/28/2018-267970.0,88.17703192,2018,2018,9,2018-9,https://www.google.com/maps/search/2244%20Ne%20Ginger%20Lake%20Dr%20Rockdale%20County%20GA,33.6381244,-83.9548244
3270,C090020170,2123 SW APPALOOSA WAY,9/28/18,140000,2005,1576,2123%20Sw%20Appaloosa%20Way%20Rockdale%20County%20GA,C090020170-9/28/2018-140000.0,88.83248731,2018,2018,9,2018-9,https://www.google.com/maps/search/2123%20Sw%20Appaloosa%20Way%20Rockdale%20County%20GA,33.670031,-84.0276265
3271,690010348,2092 NE BELMONT CIR,9/27/18,136654,2018,1624,2092%20Ne%20Belmont%20Cir%20Rockdale%20County%20GA,0690010348-9/27/2018-136654.0,84.14655172,2018,2018,9,2018-9,https://www.google.com/maps/search/2092%20Ne%20Belmont%20Cir%20Rockdale%20County%20GA,33.6680465,-83.9915116
3272,079D010392,2006 SE CAPE IVY DR,9/26/18,237000,1999,1778,2006%20Se%20Cape%20Ivy%20Dr%20Rockdale%20County%20GA,079D010392-9/26/2018-237000.0,133.295838,2018,2018,9,2018-9,https://www.google.com/maps/search/2006%20Se%20Cape%20Ivy%20Dr%20Rockdale%20County%20GA,33.6028467,-83.9944928
3273,680010154,1561 NE RENAISSANCE DR,9/26/18,345000,2018,2850,1561%20Ne%20Renaissance%20Dr%20Rockdale%20County%20GA,0680010154-9/26/2018-345000.0,121.0526316,2018,2018,9,2018-9,https://www.google.com/maps/search/1561%20Ne%20Renaissance%20Dr%20Rockdale%20County%20GA,33.6815327,-83.9869505
3274,045B010188,1553 SW CHERRY HILL RD,9/26/18,96900,1986,1182,1553%20Sw%20Cherry%20Hill%20Rd%20Rockdale%20County%20GA,045B010188-9/26/2018-96900.0,81.97969543,2018,2018,9,2018-9,https://www.google.com/maps/search/1553%20Sw%20Cherry%20Hill%20Rd%20Rockdale%20County%20GA,33.6306606,-84.048233
3275,050A010180,1132 SE PLANTATION DR,9/26/18,162500,1991,1727,1132%20Se%20Plantation%20Dr%20Rockdale%20County%20GA,050A010180-9/26/2018-162500.0,94.09380428,2018,2018,9,2018-9,https://www.google.com/maps/search/1132%20Se%20Plantation%20Dr%20Rockdale%20County%20GA,33.570001,-84.0388185
3276,077E010020,2337 SE JENNAS WAY,9/26/18,212500,2002,1607,2337%20Se%20Jennas%20Way%20Rockdale%20County%20GA,077E010020-9/26/2018-212500.0,132.2339764,2018,2018,9,2018-9,https://www.google.com/maps/search/2337%20Se%20Jennas%20Way%20Rockdale%20County%20GA,33.6241004,-83.9927269
3277,077D010453,1417 SE MANSTON CT,9/26/18,295000,2006,3263,1417%20Se%20Manston%20Ct%20Rockdale%20County%20GA,077D010453-9/26/2018-295000.0,90.40760037,2018,2018,9,2018-9,https://www.google.com/maps/search/1417%20Se%20Manston%20Ct%20Rockdale%20County%20GA,33.6101044,-84.0121361
3278,080B010050,3941 SE WOODLAND CIR,9/26/18,130000,1977,1310,3941%20Se%20Woodland%20Cir%20Rockdale%20County%20GA,080B010050-9/26/2018-130000.0,99.23664122,2018,2018,9,2018-9,https://www.google.com/maps/search/3941%20Se%20Woodland%20Cir%20Rockdale%20County%20GA,33.5862872,-84.0054467
3279,041A01006B,1414 B NW EASTMONT DR,9/26/18,68000,2006,1280,1414%20B%20Nw%20Eastmont%20Dr%20Rockdale%20County%20GA,041A01006B-9/26/2018-68000.0,53.125,2018,2018,9,2018-9,https://www.google.com/maps/search/1414%20B%20Nw%20Eastmont%20Dr%20Rockdale%20County%20GA,33.6822569,-84.0290824
3280,033001004D,1593 SW VALLEY VIEW RD,9/25/18,205000,2004,2482,1593%20Sw%20Valley%20View%20Rd%20Rockdale%20County%20GA,033001004D-9/25/2018-205000.0,82.59468171,2018,2018,9,2018-9,https://www.google.com/maps/search/1593%20Sw%20Valley%20View%20Rd%20Rockdale%20County%20GA,33.5351595,-84.0403051
3281,790020231,1483 SE BOURDON BELL DR,9/25/18,301035,2018,3793,1483%20Se%20Bourdon%20Bell%20Dr%20Rockdale%20County%20GA,0790020231-9/25/2018-301035.0,79.36593725,2018,2018,9,2018-9,https://www.google.com/maps/search/1483%20Se%20Bourdon%20Bell%20Dr%20Rockdale%20County%20GA,33.603149,-84.0019949
3282,C080020012,1006 NW MAIN ST,9/24/18,286000,1936,2093,1006%20Nw%20Main%20St%20Rockdale%20County%20GA,C080020012-9/24/2018-286000.0,136.6459627,2018,2018,9,2018-9,https://www.google.com/maps/search/1006%20Nw%20Main%20St%20Rockdale%20County%20GA,33.6729927,-84.0213482
3283,051B010043,627 SE TAHOE DR,9/24/18,147500,1975,2406,627%20Se%20Tahoe%20Dr%20Rockdale%20County%20GA,051B010043-9/24/2018-147500.0,61.30507066,2018,2018,9,2018-9,https://www.google.com/maps/search/627%20Se%20Tahoe%20Dr%20Rockdale%20County%20GA,33.5518991,-84.0262842
3284,140010155,3359 SW BRANCH VALLEY TRL,9/24/18,375000,2006,3027,3359%20Sw%20Branch%20Valley%20Trl%20Rockdale%20County%20GA,0140010155-9/24/2018-375000.0,123.8850347,2018,2018,9,2018-9,https://www.google.com/maps/search/3359%20Sw%20Branch%20Valley%20Trl%20Rockdale%20County%20GA,33.6054976,-84.0825959
3285,170010056,3200 NW GLENCREE,9/21/18,490000,1990,3606,3200%20Nw%20Glencree%20Rockdale%20County%20GA,0170010056-9/21/2018-490000.0,135.8846367,2018,2018,9,2018-9,https://www.google.com/maps/search/3200%20Nw%20Glencree%20Rockdale%20County%20GA,33.722074,-84.046963
3286,180030020,2005 NW LAKE SORRENTO DR,9/21/18,133000,1970,1635,2005%20Nw%20Lake%20Sorrento%20Dr%20Rockdale%20County%20GA,0180030020-9/21/2018-133000.0,81.34556575,2018,2018,9,2018-9,https://www.google.com/maps/search/2005%20Nw%20Lake%20Sorrento%20Dr%20Rockdale%20County%20GA,33.7217843,-84.0530636
3287,054A010083,1310 NE COUNTRY LANE WAY,9/21/18,127000,1984,1506,1310%20Ne%20Country%20Lane%20Way%20Rockdale%20County%20GA,054A010083-9/21/2018-127000.0,84.32934927,2018,2018,9,2018-9,https://www.google.com/maps/search/1310%20Ne%20Country%20Lane%20Way%20Rockdale%20County%20GA,33.7225002,-84.0021375
3288,690010395,2089 NE BELMONT CIR,9/21/18,132490,2018,1824,2089%20Ne%20Belmont%20Cir%20Rockdale%20County%20GA,0690010395-9/21/2018-132490.0,72.6370614,2018,2018,9,2018-9,https://www.google.com/maps/search/2089%20Ne%20Belmont%20Cir%20Rockdale%20County%20GA,33.6680864,-83.9919467
3289,920010230,2611 NE BOSWORTH CT,9/21/18,414900,2018,3356,2611%20Ne%20Bosworth%20Ct%20Rockdale%20County%20GA,0920010230-9/21/2018-414900.0,123.6293206,2018,2018,9,2018-9,https://www.google.com/maps/search/2611%20Ne%20Bosworth%20Ct%20Rockdale%20County%20GA,33.651585,-83.9628479
3290,031B010006,4231 SW OLD WOOD DR,9/21/18,244000,2001,2335,4231%20Sw%20Old%20Wood%20Dr%20Rockdale%20County%20GA,031B010006-9/21/2018-244000.0,104.496788,2018,2018,9,2018-9,https://www.google.com/maps/search/4231%20Sw%20Old%20Wood%20Dr%20Rockdale%20County%20GA,33.5756632,-84.0505451
3291,032D010122,2168 SW CREST WOOD DR,9/21/18,359900,2018,3253,2168%20Sw%20Crest%20Wood%20Dr%20Rockdale%20County%20GA,032D010122-9/21/2018-359900.0,110.6363357,2018,2018,9,2018-9,https://www.google.com/maps/search/2168%20Sw%20Crest%20Wood%20Dr%20Rockdale%20County%20GA,33.553525,-84.054462
3292,033A010050,3020 SW RIVER GARDEN RD,9/21/18,145000,1999,1848,3020%20Sw%20River%20Garden%20Rd%20Rockdale%20County%20GA,033A010050-9/21/2018-145000.0,78.46320346,2018,2018,9,2018-9,https://www.google.com/maps/search/3020%20Sw%20River%20Garden%20Rd%20Rockdale%20County%20GA,33.5356174,-84.0416678
3293,570010003,1491 NW PINEVIEW LN,9/20/18,165000,1963,1753,1491%20Nw%20Pineview%20Ln%20Rockdale%20County%20GA,0570010003-9/20/2018-165000.0,94.12435824,2018,2018,9,2018-9,https://www.google.com/maps/search/1491%20Nw%20Pineview%20Ln%20Rockdale%20County%20GA,33.6838718,-84.0113925
3294,660060036,105 NE ELLIS DR,9/20/18,125000,2005,1562,105%20Ne%20Ellis%20Dr%20Rockdale%20County%20GA,0660060036-9/20/2018-125000.0,80.02560819,2018,2018,9,2018-9,https://www.google.com/maps/search/105%20Ne%20Ellis%20Dr%20Rockdale%20County%20GA,33.6827113,-83.9972387
3295,077E010390,3607 SE CAPE LN,9/20/18,183100,2003,2836,3607%20Se%20Cape%20Ln%20Rockdale%20County%20GA,077E010390-9/20/2018-183100.0,64.56276446,2018,2018,9,2018-9,https://www.google.com/maps/search/3607%20Se%20Cape%20Ln%20Rockdale%20County%20GA,33.6175266,-83.9864339
3296,049A010565,362 SE GOLFCREST DR,9/19/18,206000,1988,2106,362%20Se%20Golfcrest%20Dr%20Rockdale%20County%20GA,049A010565-9/19/2018-206000.0,97.81576448,2018,2018,9,2018-9,https://www.google.com/maps/search/362%20Se%20Golfcrest%20Dr%20Rockdale%20County%20GA,33.590664,-84.0335738
3297,360020023,2790 NW ALMAND RD,9/18/18,93000,1992,1104,2790%20Nw%20Almand%20Rd%20Rockdale%20County%20GA,0360020023-9/18/2018-93000.0,84.23913043,2018,2018,9,2018-9,https://www.google.com/maps/search/2790%20Nw%20Almand%20Rd%20Rockdale%20County%20GA,33.7176959,-84.01293
3298,047C010514,1812 SE CHRISTOPHER DR,9/18/18,394000,2007,5058,1812%20Se%20Christopher%20Dr%20Rockdale%20County%20GA,047C010514-9/18/2018-394000.0,77.89640174,2018,2018,9,2018-9,https://www.google.com/maps/search/1812%20Se%20Christopher%20Dr%20Rockdale%20County%20GA,33.6177948,-84.0157922
3299,041B010263,1882 NW MILLSTREAM HOLLOW,9/18/18,144400,2018,1589,1882%20Nw%20Millstream%20Hollow%20Rockdale%20County%20GA,041B010263-9/18/2018-144400.0,90.874764,2018,2018,9,2018-9,https://www.google.com/maps/search/1882%20Nw%20Millstream%20Hollow%20Rockdale%20County%20GA,33.6907214,-84.0252309
3300,051C010091,812 SE CEDAR LAKE DR,9/18/18,130000,1983,1328,812%20Se%20Cedar%20Lake%20Dr%20Rockdale%20County%20GA,051C010091-9/18/2018-130000.0,97.89156627,2018,2018,9,2018-9,https://www.google.com/maps/search/812%20Se%20Cedar%20Lake%20Dr%20Rockdale%20County%20GA,33.5604535,-84.0224635
3301,041B010256,1910 NW MILLSTREAM HOLLOW,9/18/18,144900,2018,1589,1910%20Nw%20Millstream%20Hollow%20Rockdale%20County%20GA,041B010256-9/18/2018-144900.0,91.18942731,2018,2018,9,2018-9,https://www.google.com/maps/search/1910%20Nw%20Millstream%20Hollow%20Rockdale%20County%20GA,33.6908389,-84.024623
3302,140020074,2053 SW MILLSTONE DR,9/17/18,265000,2004,2785,2053%20Sw%20Millstone%20Dr%20Rockdale%20County%20GA,0140020074-9/17/2018-265000.0,95.15260323,2018,2018,9,2018-9,https://www.google.com/maps/search/2053%20Sw%20Millstone%20Dr%20Rockdale%20County%20GA,33.6014956,-84.0900232
3303,050A010167,1088 SE PLANTATION BLVD,9/17/18,149000,1991,1547,1088%20Se%20Plantation%20Blvd%20Rockdale%20County%20GA,050A010167-9/17/2018-149000.0,96.31544926,2018,2018,9,2018-9,https://www.google.com/maps/search/1088%20Se%20Plantation%20Blvd%20Rockdale%20County%20GA,33.5712927,-84.0403051
3304,004002002N,3126 SW HIGHWAY 155,9/14/18,285000,2004,2984,3126%20Sw%20Highway%20155%20Rockdale%20County%20GA,004002002N-9/14/2018-285000.0,95.50938338,2018,2018,9,2018-9,https://www.google.com/maps/search/3126%20Sw%20Highway%20155%20Rockdale%20County%20GA,33.608418,-84.159615
3305,057B010005,108 NW ODYSSEY TURN,9/14/18,105000,2002,1370,108%20Nw%20Odyssey%20Turn%20Rockdale%20County%20GA,057B010005-9/14/2018-105000.0,76.64233577,2018,2018,9,2018-9,https://www.google.com/maps/search/108%20Nw%20Odyssey%20Turn%20Rockdale%20County%20GA,33.687272,-84.0019466
3306,077C010192,1675 SE BRENTWOOD CROSSING,9/14/18,239900,1994,2809,1675%20Se%20Brentwood%20Crossing%20Rockdale%20County%20GA,077C010192-9/14/2018-239900.0,85.40405838,2018,2018,9,2018-9,https://www.google.com/maps/search/1675%20Se%20Brentwood%20Crossing%20Rockdale%20County%20GA,33.6220606,-83.988769
3307,077B010318,1810 SE LANCASTER DR,9/14/18,360000,2002,3661,1810%20Se%20Lancaster%20Dr%20Rockdale%20County%20GA,077B010318-9/14/2018-360000.0,98.33378858,2018,2018,9,2018-9,https://www.google.com/maps/search/1810%20Se%20Lancaster%20Dr%20Rockdale%20County%20GA,33.6176831,-83.9995343
3308,032C010030,5710 SW THRASHER LN,9/14/18,205000,1995,2342,5710%20Sw%20Thrasher%20Ln%20Rockdale%20County%20GA,032C010030-9/14/2018-205000.0,87.53202391,2018,2018,9,2018-9,https://www.google.com/maps/search/5710%20Sw%20Thrasher%20Ln%20Rockdale%20County%20GA,33.5533134,-84.0607009
3309,057A010030,1483 NW REAGAN CIR,9/14/18,320000,1988,3043,1483%20Nw%20Reagan%20Cir%20Rockdale%20County%20GA,057A010030-9/14/2018-320000.0,105.1593822,2018,2018,9,2018-9,https://www.google.com/maps/search/1483%20Nw%20Reagan%20Cir%20Rockdale%20County%20GA,33.6830934,-84.0155443
3310,064B010134,2405 NE PLANTER'S MILL WAY,9/14/18,295000,2016,3448,2405%20Ne%20Planter'S%20Mill%20Way%20Rockdale%20County%20GA,064B010134-9/14/2018-295000.0,85.55684455,2018,2018,9,2018-9,https://www.google.com/maps/search/2405%20Ne%20Planter'S%20Mill%20Way%20Rockdale%20County%20GA,33.6846719,-83.9642767
3311,027A010103,2343 SW CEDAR MILL DR,9/14/18,131000,1973,1766,2343%20Sw%20Cedar%20Mill%20Dr%20Rockdale%20County%20GA,027A010103-9/14/2018-131000.0,74.17893545,2018,2018,9,2018-9,https://www.google.com/maps/search/2343%20Sw%20Cedar%20Mill%20Dr%20Rockdale%20County%20GA,33.6441776,-84.0649113
